"","DATETIME","LEVEL_T1","LEVEL_T2","LEVEL_T3","LEVEL_T4","LEVEL_T5","LEVEL_T6","LEVEL_T7","FLOW_PU1","STATUS_PU1","FLOW_PU2","STATUS_PU2","FLOW_PU3","STATUS_PU3","FLOW_PU4","STATUS_PU4","FLOW_PU5","STATUS_PU5","FLOW_PU6","STATUS_PU6","FLOW_PU7","STATUS_PU7","FLOW_PU8","STATUS_PU8","FLOW_PU9","STATUS_PU9","FLOW_PU10","STATUS_PU10","FLOW_PU11","STATUS_PU11","FLOW_V2","STATUS_V2","PRESSURE_J280","PRESSURE_J269","PRESSURE_J300","PRESSURE_J256","PRESSURE_J289","PRESSURE_J415","PRESSURE_J302","PRESSURE_J306","PRESSURE_J307","PRESSURE_J317","PRESSURE_J14","PRESSURE_J422","ATT_FLAG"
"1","04/07/16 00",2.44,5.24,3.19,4.1,2.86,5.5,4.39,93.63,"True",93.65,"True",0,"False",0,"False",0,"False",0,"False",49.84,"True",35.54,"True",0,"False",29.87,"True",0,"False",0,"False",2.98,36.38,28.26,70,28.22,85.87,21.69,82.72,21.58,71.99,39.33,29.64,"False"
"2","04/07/16 01",2.66,4.53,3.2,4.18,3.29,5.44,4.53,89.41,"True",89.43,"True",0,"False",34.26,"True",0,"False",0,"False",48.38,"True",37.83,"True",0,"False",0,"False",0,"False",0,"False",2.98,38.6,24.39,87.73,24.45,84.87,29.81,86.62,29.81,59.76,42.17,26.15,"False"
"3","04/07/16 02",3.11,3.66,3.66,4.21,3.87,5.15,3.22,89.88,"True",89.89,"True",0,"False",32.97,"True",0,"False",0,"False",46.84,"True",37.31,"True",0,"False",0,"False",0,"False",0,"False",2.98,38.36,23.84,89.29,23.9,87.11,29.85,87.64,29.85,58.5,42,25.56,"False"
"4","04/07/16 03",3.62,3.04,4.17,4.04,3.56,4.98,2.4,88.1,"True",88.12,"True",0,"False",33.27,"True",0,"False",0,"False",0,"False",0,"False",0,"False",32.68,"True",0,"False",0,"False",2.98,39.29,27,91.98,27.1,68.75,31.6,64.25,31.47,72.3,43.24,28.38,"False"
"5","04/07/16 04",4.08,2.68,4.73,3.2,3.11,5.39,3.46,87.01,"True",87.03,"True",0,"False",32.99,"True",0,"False",0,"False",0,"False",0,"False",0,"False",32.81,"True",0,"False",0,"False",2.98,39.85,26.67,92.11,26.76,68.74,32.3,64.23,32.17,72.53,44,28.04,"False"
"6","04/07/16 05",4.53,2.1,5.26,3.29,2.76,5.5,4.67,110.09,"True",0,"False",0,"False",30.43,"True",0,"False",0,"False",46.6,"True",0,"False",0,"False",30.26,"True",0,"False",0,"False",2.99,27.41,22.59,91.94,22.64,86.26,30.41,63.36,30.3,79.47,39.76,24.28,"False"
"7","04/07/16 06",4.84,1.57,5.12,3.9,2.29,5.3,3.9,107.71,"True",0,"False",0,"False",0,"False",0,"False",0,"False",47.35,"True",0,"False",0,"False",0,"False",0,"False",0,"False",2.99,28.74,24.78,75.29,24.74,87.03,33.98,63.13,33.98,59.47,41.24,26.13,"False"
"8","04/07/16 07",5.19,1.07,4.85,4.45,1.87,5,2.66,110.23,"True",0,"False",0,"False",0,"False",0,"False",0,"False",47.66,"True",0,"False",0,"False",0,"False",0,"False",0,"False",2.99,27.33,24.25,73.65,24.22,85.95,33.22,61.75,33.22,55.73,40.05,25.61,"False"
"9","04/07/16 08",5.22,0.94,4.52,3.51,1.55,5.09,2.48,111.38,"True",0,"False",0,"False",0,"False",0,"False",0,"False",0,"False",37.03,"True",0,"False",31.53,"True",0,"False",0,"False",2.99,26.68,25.94,71.43,25.94,57.78,22.73,81.09,22.61,67.51,39.26,27.13,"False"
"10","04/07/16 09",5.11,0.68,4.11,2.41,1.77,5.27,2.57,112.78,"True",0,"False",0,"False",0,"False",0,"False",0,"False",48.44,"True",36.3,"True",0,"False",31.38,"True",0,"False",0,"False",2.99,25.89,23.81,67.55,23.77,84.09,22.21,81.9,22.1,67.53,38.59,25.17,"False"
